roll, pitch, yaw,nr,time
125.68,-23.68,-12.18,203,Tue Oct  3 19:51:36 2017
124.92,-24.65,-11.45,204,Tue Oct  3 19:51:36 2017
125.07,-24.58,-11.53,205,Tue Oct  3 19:51:36 2017
124.6,-25.28,-11.21,206,Tue Oct  3 19:51:36 2017
124.52,-25.49,-11.02,207,Tue Oct  3 19:51:36 2017
124.32,-25.77,-10.67,208,Tue Oct  3 19:51:36 2017
124.05,-26.16,-10.54,209,Tue Oct  3 19:51:36 2017
123.65,-26.64,-10.36,210,Tue Oct  3 19:51:36 2017
123.43,-26.69,-10.23,211,Tue Oct  3 19:51:36 2017
123.1,-27.01,-10.0,212,Tue Oct  3 19:51:36 2017
123.39,-26.91,-10.02,213,Tue Oct  3 19:51:36 2017
123.51,-26.91,-10.0,214,Tue Oct  3 19:51:36 2017
123.62,-26.92,-9.94,215,Tue Oct  3 19:51:37 2017
123.37,-27.41,-9.49,216,Tue Oct  3 19:51:37 2017
123.37,-27.52,-9.29,217,Tue Oct  3 19:51:37 2017
123.1,-28.26,-8.52,218,Tue Oct  3 19:51:37 2017
123.25,-28.39,-7.99,219,Tue Oct  3 19:51:37 2017
122.93,-29.24,-6.09,220,Tue Oct  3 19:51:37 2017
122.82,-29.59,-4.66,221,Tue Oct  3 19:51:37 2017
122.39,-30.59,-2.24,222,Tue Oct  3 19:51:37 2017
122.2,-31.28,-0.2,223,Tue Oct  3 19:51:37 2017
121.99,-31.86,1.32,224,Tue Oct  3 19:51:37 2017
121.68,-32.04,3.26,225,Tue Oct  3 19:51:37 2017
120.86,-33.03,5.1,226,Tue Oct  3 19:51:37 2017
121.31,-32.98,5.95,227,Tue Oct  3 19:51:37 2017
121.19,-33.12,6.58,228,Tue Oct  3 19:51:37 2017
121.19,-33.59,7.16,229,Tue Oct  3 19:51:37 2017
121.49,-33.65,7.37,230,Tue Oct  3 19:51:37 2017
122.18,-33.27,7.08,231,Tue Oct  3 19:51:37 2017
123.85,-32.13,6.15,232,Tue Oct  3 19:51:37 2017
125.45,-31.13,5.49,233,Tue Oct  3 19:51:37 2017
128.45,-28.06,4.1,234,Tue Oct  3 19:51:37 2017
130.05,-26.25,3.47,235,Tue Oct  3 19:51:38 2017
129.92,-25.7,3.74,236,Tue Oct  3 19:51:38 2017
127.63,-28.34,5.23,237,Tue Oct  3 19:51:38 2017
126.78,-29.0,5.8,238,Tue Oct  3 19:51:38 2017
126.02,-29.5,6.24,239,Tue Oct  3 19:51:38 2017
125.55,-29.83,6.54,240,Tue Oct  3 19:51:38 2017
124.59,-30.48,7.07,241,Tue Oct  3 19:51:38 2017
124.12,-30.98,7.37,242,Tue Oct  3 19:51:38 2017
123.95,-30.89,7.4,243,Tue Oct  3 19:51:38 2017
123.14,-31.47,7.89,244,Tue Oct  3 19:51:38 2017
122.97,-31.6,7.96,245,Tue Oct  3 19:51:38 2017
122.96,-31.61,7.91,246,Tue Oct  3 19:51:38 2017
